Column1,#,Country,Num Players,Women,% of Women,FIDE Average,GMs,IMs,FMs,WGMs,WIMs,WFMs,Age Avg,world_population.Rank,CCA3,world_population.Country,world_population.Capital,world_population.Continent,world_population.2022 Population
45,46,Canada,1458,146,10.01,1812,14,36,92,1,12,16,36,39,CAN,Canada,Ottawa,North America,38454327
148,149,Cape Verde,40,0,0,1184,0,0,0,0,0,0,40,171,CPV,Cape Verde,Praia,Africa,593149
187,188,Central African Republic,4,0,0,1556,0,0,0,0,0,0,38,117,CAF,Central African Republic,Bangui,Africa,5579144
35,36,Chile,2187,207,9.47,1627,6,11,46,0,3,9,36,65,CHL,Chile,Santiago,South America,19603733
43,44,China,1575,455,28.89,1718,48,39,24,17,21,14,21,1,CHN,China,Beijing,Asia,1425887337
28,29,Colombia,2831,428,15.12,1715,9,36,85,2,16,17,34,28,COL,Colombia,Bogota,South America,51874024
61,62,Costa Rica,740,114,15.41,1493,1,8,14,0,5,5,30,124,CRI,Costa Rica,San José,North America,5180829
26,27,Croatia,3325,257,7.73,1672,30,60,136,3,9,12,46,130,HRV,Croatia,Zagreb,Europe,4030358
36,37,Cuba,2172,386,17.77,1877,27,49,144,7,17,61,35,85,CUB,Cuba,Havana,North America,11212191
118,119,Cyprus,151,8,5.3,1335,0,0,5,0,0,0,33,158,CYP,Cyprus,Nicosia,Europe,1251488
9,10,Czech Republic,8008,497,6.21,1752,35,81,159,8,15,18,45,88,CZE,Czech Republic,Prague,Europe,10493986
19,20,Denmark,4091,77,1.88,1733,12,43,68,0,3,8,55,115,DNK,Denmark,Copenhagen,Europe,5882261
177,178,Djibouti,10,0,0,1652,0,0,0,0,0,0,34,160,DJI,Djibouti,Djibouti,Africa,1120849
69,70,Dominican Republic,652,51,7.82,1719,1,6,19,0,0,4,37,84,DOM,Dominican Republic,Santo Domingo,North America,11228821
181,182,DR Congo,7,0,0,1679,0,0,2,0,0,0,51,15,COD,DR Congo,Kinshasa,Africa,99010212
47,48,Ecuador,1211,301,24.86,1572,1,14,20,2,4,14,26,67,ECU,Ecuador,Quito,South America,18001000
34,35,Egypt,2194,110,5.01,1524,6,27,19,3,6,2,39,14,EGY,Egypt,Cairo,Africa,110990103
107,108,El Salvador,230,45,19.57,1627,0,4,8,0,4,7,33,112,SLV,El Salvador,San Salvador,North America,6336392
185,186,Eritrea,6,0,0,1820,0,0,0,0,0,0,31,132,ERI,Eritrea,Asmara,Africa,3684032
83,84,Estonia,436,96,22.02,1742,6,15,13,1,5,10,35,156,EST,Estonia,Tallinn,Europe,1326062
141,142,Eswatini,48,9,18.75,1252,0,0,0,0,0,0,28,159,SWZ,Eswatini,Mbabane,Africa,1201670
129,130,Ethiopia,90,22,24.44,1742,0,0,2,0,0,0,34,12,ETH,Ethiopia,Addis Ababa,Africa,123379924
115,116,Faroe Islands,176,3,1.7,1698,1,2,7,0,0,0,44,209,FRO,Faroe Islands,Tórshavn,Europe,53090
144,145,Fiji,43,8,18.6,1627,0,0,0,0,0,2,36,162,FJI,Fiji,Suva,Oceania,929766
51,52,Finland,1117,49,4.39,1872,5,22,84,0,1,4,48,118,FIN,Finland,Helsinki,Europe,5540745
4,5,France,23784,2143,9.01,1580,50,117,234,4,18,21,41,23,FRA,France,Paris,Europe,64626628
188,189,Gabon,3,0,0,1878,0,0,1,0,0,0,39,146,GAB,Gabon,Libreville,Africa,2388992
174,175,Gambia,11,0,0,1862,0,0,1,0,0,0,57,142,GMB,Gambia,Banjul,Africa,2705992
46,47,Georgia,1282,352,27.46,1543,31,40,20,11,12,20,28,131,GEO,Georgia,Tbilisi,Asia,3744385
2,3,Germany,26577,1751,6.59,1841,94,273,861,18,40,69,49,19,DEU,Germany,Berlin,Europe,83369843
131,132,Ghana,82,10,12.2,1542,0,1,1,0,0,1,32,47,GHA,Ghana,Accra,Africa,33475870
